Myles Turner\turnemy01,C,24,IND,35,35,31.3,4.7,9.6,.490,1.4,4.5,.316,3.3,5.1,.644,.564,2.6,3.3,.789,1.4,5.1,6.5,1.0,1.0,3.3,1.3,3.5,13.4
Josh Jackson\jacksjo02,SG,23,DET,34,6,24.7,4.7,11.2,.421,1.2,4.4,.284,3.5,6.9,.509,.476,2.5,3.6,.699,1.0,3.4,4.4,1.9,0.9,0.9,2.3,2.9,13.2
Jarrett Allen\allenja01,C,22,TOT,37,19,28.1,4.8,7.2,.659,0.1,0.2,.444,4.6,7.0,.667,.667,3.5,4.9,.717,3.1,6.7,9.8,1.7,0.5,1.7,1.5,1.6,13.1
Kyle Anderson\anderky01,PF,27,MEM,33,33,27.1,4.8,10.0,.480,1.5,3.9,.375,3.3,6.1,.547,.553,2.0,2.6,.767,0.9,5.1,5.9,3.4,1.1,0.6,1.4,1.7,13.0
Patty Mills\millspa02,PG,32,SAS,35,0,25.4,4.6,10.3,.443,2.7,6.8,.391,1.9,3.5,.545,.572,1.2,1.3,.894,0.3,1.5,1.8,2.5,0.7,0.0,1.1,1.4,13.0
Jalen Brunson\brunsja01,PG,24,DAL,33,8,25.1,4.7,8.8,.531,1.3,3.3,.398,3.4,5.6,.609,.604,2.2,2.7,.822,0.2,3.3,3.5,3.4,0.5,0.0,1.2,1.5,12.9
Rui Hachimura\hachiru01,PF,22,WAS,30,30,29.9,4.6,10.0,.463,0.8,2.6,.325,3.8,7.4,.511,.505,2.8,3.6,.776,1.0,4.5,5.5,1.6,0.8,0.1,1.0,2.1,12.9
Seth Curry\curryse01,SG,30,PHI,31,31,29.6,4.5,9.8,.464,2.0,4.5,.436,2.6,5.3,.488,.564,1.7,1.9,.931,0.2,1.9,2.1,2.9,0.9,0.3,1.4,1.7,12.8
Tyrese Haliburton\halibty01,PG,20,SAC,32,2,29.5,4.9,10.2,.483,2.3,5.4,.430,2.6,4.8,.542,.596,0.6,0.8,.833,0.9,2.6,3.5,5.2,1.4,0.6,1.5,1.3,12.8
Duncan Robinson\robindu01,SF,26,MIA,39,39,33.1,4.2,9.9,.424,3.3,8.5,.390,0.9,1.4,.625,.590,1.1,1.3,.840,0.1,3.8,3.9,1.6,0.5,0.2,1.2,2.4,12.8
